scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80030,59,59,59,0,0.0,0.0,0.0,2.97851389192629,0.0,0,9.152724980398492,7.375,0.0,4,10.0,3.0,20.0,480,4,31
Beban Sangat Rendah,base,80031,55,55,54,0,0.0,0.0,0.0,2.8804681200690694,0.0,0,8.199413578817532,6.75,0.0,4,10.0,3.0,20.0,480,4,32
Beban Sangat Rendah,base,80032,40,40,39,0,0.0,0.0,0.0,2.897655440776328,0.0,0,6.012849152471207,4.875,0.0,4,10.0,3.0,20.0,480,4,33
Beban Sangat Rendah,base,80033,51,51,50,0,0.0,0.0,0.0,3.112353731634373,0.0,0,8.256074227721667,6.25,0.0,4,10.0,3.0,20.0,480,4,34
Beban Sangat Rendah,base,80034,53,53,53,0,0.0,0.0,0.0,2.781743167231863,0.0,0,7.678770201212962,6.625,0.0,4,10.0,3.0,20.0,480,4,35
Beban Sangat Rendah,base,80035,50,50,49,0,0.0,0.0,0.0,3.1967698107495335,0.0,0,8.206246044805834,6.125,0.0,4,10.0,3.0,20.0,480,4,36
Beban Sangat Rendah,base,80036,47,47,46,0,0.0,0.0,0.0,2.8873941731741968,0.0,0,6.963180195911336,5.75,0.0,4,10.0,3.0,20.0,480,4,37
Beban Sangat Rendah,base,80037,61,61,61,0,0.0,0.0,0.0,3.0015583580044303,0.0,0,9.536201033243236,7.625,0.0,4,10.0,3.0,20.0,480,4,38
Beban Sangat Rendah,base,80038,53,53,52,0,0.0,0.0,0.0,2.984317359470514,0.0,0,8.102626482249065,6.5,0.0,4,10.0,3.0,20.0,480,4,39
Beban Sangat Rendah,base,80039,66,66,66,0,0.0,0.0,0.0,3.07510181674583,0.0,0,10.570662495063804,8.25,0.0,4,10.0,3.0,20.0,480,4,40
Beban Sangat Rendah,base,80040,52,52,52,0,0.0,0.0,0.0,3.0294125065941873,0.0,0,8.204658872025924,6.5,0.0,4,10.0,3.0,20.0,480,4,41
Beban Sangat Rendah,base,80041,47,47,46,0,0.0,0.0,0.0,3.1019291677293697,0.0,0,7.509097317524055,5.75,0.0,4,10.0,3.0,20.0,480,4,42
Beban Sangat Rendah,base,80042,54,54,54,0,0.0,0.0,0.0,3.075542626825757,0.0,0,8.64996363794744,6.75,0.0,4,10.0,3.0,20.0,480,4,43
Beban Sangat Rendah,base,80043,49,49,49,0,0.0,0.0,0.0,2.840566209675789,0.0,0,7.249361680943419,6.125,0.0,4,10.0,3.0,20.0,480,4,44
Beban Sangat Rendah,base,80044,60,60,59,0,0.0,0.0,0.0,2.9504567855006005,0.0,0,9.137539214487184,7.375,0.0,4,10.0,3.0,20.0,480,4,45
Beban Sangat Rendah,base,80045,51,51,50,0,0.0,0.0,0.0,3.0159851644342943,0.0,0,7.977856884906946,6.25,0.0,4,10.0,3.0,20.0,480,4,46
Beban Sangat Rendah,base,80046,40,40,39,0,0.0,0.0,0.0,3.1012912097635197,0.0,0,6.429220415768076,4.875,0.0,4,10.0,3.0,20.0,480,4,47
Beban Sangat Rendah,base,80047,49,49,49,0,0.0,0.0,0.0,2.8133238841031925,0.0,0,7.179836995888351,6.125,0.0,4,10.0,3.0,20.0,480,4,48
Beban Sangat Rendah,base,80048,48,48,47,0,0.0,0.0,0.0,3.0228120845573,0.0,0,7.428797184604656,5.875,0.0,4,10.0,3.0,20.0,480,4,49
Beban Sangat Rendah,base,80049,44,44,43,0,0.0,0.0,0.0,3.061366665407555,0.0,0,6.882465992123839,5.375,0.0,4,10.0,3.0,20.0,480,4,50
Beban Sangat Rendah,base,80050,46,46,46,0,0.0,0.0,0.0,3.011927263722519,0.0,0,7.21607573600186,5.75,0.0,4,10.0,3.0,20.0,480,4,51
Beban Sangat Rendah,base,80051,49,49,49,0,0.0,0.0,0.0,3.125679223634885,0.0,0,7.976993851984873,6.125,0.0,4,10.0,3.0,20.0,480,4,52
Beban Sangat Rendah,base,80052,47,47,47,0,0.0,0.0,0.0,2.975244242278612,0.0,0,7.283149968077854,5.875,0.0,4,10.0,3.0,20.0,480,4,53
Beban Sangat Rendah,base,80053,47,47,47,0,0.0,0.0,0.0,2.9213988108235673,0.0,0,7.151340838995181,5.875,0.0,4,10.0,3.0,20.0,480,4,54
Beban Sangat Rendah,base,80054,51,51,51,0,0.0,0.0,0.0,2.961424640581999,0.0,0,7.866284201545931,6.375,0.0,4,10.0,3.0,20.0,480,4,55
Beban Sangat Rendah,base,80055,54,54,54,0,0.0,0.0,0.0,2.9246466568320733,0.0,0,8.225568722340203,6.75,0.0,4,10.0,3.0,20.0,480,4,56
Beban Sangat Rendah,base,80056,40,40,40,0,0.0,0.0,0.0,2.8984997012647495,0.0,0,6.038541044301566,5.0,0.0,4,10.0,3.0,20.0,480,4,57
Beban Sangat Rendah,base,80057,47,47,47,0,0.0,0.0,0.0,3.0380128331823175,0.0,0,7.4368022478942155,5.875,0.0,4,10.0,3.0,20.0,480,4,58
Beban Sangat Rendah,base,80058,49,49,49,0,0.0,0.0,0.0,2.8952100940918624,0.0,0,7.388817427630269,6.125,0.0,4,10.0,3.0,20.0,480,4,59
Beban Sangat Rendah,base,80059,51,51,49,0,0.0,0.0,0.0,2.8192746287092256,0.0,0,7.342889692936157,6.125,0.0,4,10.0,3.0,20.0,480,4,60
Beban Sangat Rendah,base,80060,44,44,42,0,0.0,0.0,0.0,3.0579046624632826,0.0,0,6.9314381436221275,5.25,0.0,4,10.0,3.0,20.0,480,4,61
Beban Sangat Rendah,base,80061,42,42,42,0,0.0,0.0,0.0,3.08344250140711,0.0,0,6.745030471828052,5.25,0.0,4,10.0,3.0,20.0,480,4,62
Beban Sangat Rendah,base,80062,59,59,59,0,0.0,0.0,0.0,3.029825333661326,0.0,0,9.310400764896782,7.375,0.0,4,10.0,3.0,20.0,480,4,63
Beban Sangat Rendah,base,80063,48,48,47,0,0.0,0.0,0.0,3.1206860292846224,0.0,0,7.690478288367526,5.875,0.0,4,10.0,3.0,20.0,480,4,64
Beban Sangat Rendah,base,80064,43,43,43,0,0.0,0.0,0.0,2.9032010555503347,0.0,0,6.501960697326272,5.375,0.0,4,10.0,3.0,20.0,480,4,65
Beban Sangat Rendah,base,80065,60,60,60,0,0.0,0.0,0.0,3.020678497722712,0.0,0,9.43962030538347,7.5,0.0,4,10.0,3.0,20.0,480,4,66
Beban Sangat Rendah,base,80066,43,43,43,0,0.0,0.0,0.0,2.832172149690411,0.0,0,6.342885543577488,5.375,0.0,4,10.0,3.0,20.0,480,4,67
Beban Sangat Rendah,base,80067,49,49,49,0,0.0,0.0,0.0,3.202023797001773,0.0,0,8.171831565264947,6.125,0.0,4,10.0,3.0,20.0,480,4,68
Beban Sangat Rendah,base,80068,45,45,44,0,0.0,0.0,0.0,2.9572832411724126,0.0,0,6.9105825466345445,5.5,0.0,4,10.0,3.0,20.0,480,4,69
Beban Sangat Rendah,base,80069,47,47,47,0,0.0,0.0,0.0,3.0786083510792857,0.0,0,7.53617669274617,5.875,0.0,4,10.0,3.0,20.0,480,4,70
Beban Sangat Rendah,base,80070,40,40,40,0,0.0,0.0,0.0,2.851371415907984,0.0,0,5.940357116474969,5.0,0.0,4,10.0,3.0,20.0,480,4,71
