scenario,total_arrivals_mean,total_arrivals_std,total_arrivals_count,served_customers_mean,served_customers_std,served_customers_count,served_within_horizon_mean,served_within_horizon_std,served_within_horizon_count,abandoned_customers_mean,abandoned_customers_std,abandoned_customers_count,avg_wait_time_mean,avg_wait_time_std,avg_wait_time_count,avg_wait_served_mean,avg_wait_served_std,avg_wait_served_count,avg_wait_abandoned_mean,avg_wait_abandoned_std,avg_wait_abandoned_count,avg_system_time_mean,avg_system_time_std,avg_system_time_count,avg_queue_length_mean,avg_queue_length_std,avg_queue_length_count,max_queue_length_mean,max_queue_length_std,max_queue_length_count,utilization_percent_mean,utilization_percent_std,utilization_percent_count,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_count,abandonment_percent_mean,abandonment_percent_std,abandonment_percent_count,total_arrivals_ci95_low,total_arrivals_ci95_high,served_customers_ci95_low,served_customers_ci95_high,served_within_horizon_ci95_low,served_within_horizon_ci95_high,abandoned_customers_ci95_low,abandoned_customers_ci95_high,avg_wait_time_ci95_low,avg_wait_time_ci95_high,avg_wait_served_ci95_low,avg_wait_served_ci95_high,avg_wait_abandoned_ci95_low,avg_wait_abandoned_ci95_high,avg_system_time_ci95_low,avg_system_time_ci95_high,avg_queue_length_ci95_low,avg_queue_length_ci95_high,max_queue_length_ci95_low,max_queue_length_ci95_high,utilization_percent_ci95_low,utilization_percent_ci95_high,throughput_per_hour_ci95_low,throughput_per_hour_ci95_high,abandonment_percent_ci95_low,abandonment_percent_ci95_high
Tanpa Intervensi,161.111,12.88264885967329,1000,160.578,12.575374986697463,1000,158.681,12.469110542364971,1000,0.533,1.165448098058969,1000,1.621360325262993,0.5860840369333072,1000,1.590303691063609,0.5523670251349353,1000,3.084,5.246376699062744,1000,5.612686258885568,0.5917743846938426,1000,0.5515108414550659,0.2322235688742727,1000,5.429,1.6345123525475818,1000,66.44327648235708,5.345590927131541,1000,19.835125,1.5586388177956214,1000,0.31574542034355857,0.6842134763778625,1000,160.3125251512223,161.90947484877768,159.798570183182,161.357429816818,157.9081565216783,159.45384347832172,0.460764778502279,0.605235221497721,1.5850344603062732,1.6576861902197126,1.5560676281491708,1.6245397539780473,2.7588262032874287,3.4091737967125715,5.576007702520655,5.649364815250482,0.5371174755363585,0.5659042073737733,5.327691874804483,5.530308125195518,66.11195332407945,66.7745996406347,19.73851956520979,19.931730434790214,0.27333742971729574,0.3581534109698214
Intervensi Reaktif,161.151,12.802894716161399,1000,160.954,12.65274578800886,1000,159.119,12.49027004695439,1000,0.197,0.651625364466129,1000,1.5561776782999435,0.5477038738539798,1000,1.5448470255157551,0.5338179094030978,1000,1.44,3.90148966698896,1000,5.53810864732021,0.5514577923986939,1000,0.5296404885428584,0.21717310873289256,1000,5.356,1.5038369344864246,1000,66.33525221931163,5.2647380052875326,1000,19.889875,1.5612837558692987,1000,0.11522765466658835,0.3751820993726869,1000,160.35746836425048,161.94453163574954,160.1697746912339,161.73822530876612,158.3448450419965,159.8931549580035,0.15661184147613377,0.23738815852386624,1.5222306404962915,1.5901247161035954,1.5117606487054924,1.5779334023260179,1.1981831651401795,1.6818168348598204,5.503928939234618,5.572288355405802,0.5161799598082056,0.5431010172775111,5.262791221127735,5.449208778872265,66.00894037704873,66.66156406157452,19.793105630249563,19.986644369750437,0.09197362722829847,0.13848168210487824
Intervensi Preventif,160.582,12.163273458293263,1000,160.582,12.163273458293263,1000,159.269,12.1042617351143,1000,0.0,0.0,1000,0.1619488886153946,0.08439629779863124,1000,0.1619488886153946,0.08439629779863124,1000,0.0,0.0,1000,3.76030664868682,0.11858224533837819,1000,0.05504366480618893,0.03080645842291273,1000,2.779,0.971134440797,1000,39.94287383762573,3.1164332479738506,1000,19.908625,1.5130327168892874,1000,0.0,0.0,1000,159.82811250053908,161.3358874994609,159.82811250053908,161.3358874994609,158.51877008503547,160.01922991496454,0.0,0.0,0.15671795188365584,0.16717982534713338,0.15671795188365584,0.16717982534713338,0.0,0.0,3.7529568449744275,3.767656452399213,0.05313426073109914,0.05695306888127871,2.7188084637558116,2.839191536244188,39.749715303732046,40.13603237151942,19.814846260629434,20.002403739370568,0.0,0.0
Beban Tinggi,240.466,15.760686636160342,1000,204.618,6.906937221502869,1000,200.442,6.589997273448919,1000,35.848,12.12476415877463,1000,5.8279702022839075,0.7137022850159159,1000,5.133865694493087,0.6436606738128012,1000,10.0,4.2057309054907523e-16,1000,9.667440627292514,0.5793482428236348,1000,2.914924164100387,0.5307084642615266,1000,10.705,1.5831871277525846,1000,94.37161093506958,2.8451845212575333,1000,25.05525,0.8237496591811149,1000,14.67228027679998,4.147683662987693,1000,239.4891425217345,241.44285747826552,204.1899035957954,205.04609640420458,200.0335477372954,200.8504522627046,35.09649933165157,36.599500668348426,5.783734476362335,5.87220592820548,5.093971192610355,5.173760196375819,10.0,10.0,9.63153225118003,9.703349003404998,2.8820305126966956,2.9478178155040786,10.60687304519522,10.80312695480478,94.19526457143725,94.54795729870192,25.004193467161926,25.106306532838076,14.415204179977318,14.92935637362264
